ID_Credito,Cliente,Fecha_Solicitud,Monto_Solicitado,Tasa_Interes,Plazo_Meses,Ingreso_Mensual,Score_Credito,Aprobado,Estado_Credito,Fecha_Nacimiento
100000,Cliente 0,2020-01-01,19039.74,11.96,48,1629.12,729.0,Sí,Pagado,1957-01-12
100001,Cliente 1,2020-01-02,47560.36,13.68,24,3279.64,633.0,No,Pagado,1981-05-31
100002,Cliente 2,2020-01-03,36733.7,21.87,60,13713.41,705.0,Sí,Pagado,1965-11-24
100003,Cliente 3,2020-01-04,30133.59,10.81,36,779.84,329.0,No,Activo,1946-09-01
100004,Cliente 4,2020-01-05,8222.92,22.2,36,9974.76,834.0,No,Activo,1983-04-27
100005,Cliente 5,2020-01-06,8221.73,5.39,36,6073.93,816.0,No,Pagado,1994-09-04
100006,Cliente 6,2020-01-07,3375.14,20.2,12,10253.41,520.0,Sí,En Mora,1985-10-28
100007,Cliente 7,2020-01-08,43375.72,21.72,12,9036.03,793.0,Sí,Pagado,1951-11-20
100008,Cliente 8,2020-01-09,30255.19,7.41,36,3740.73,552.0,Sí,Activo,1989-04-21
100009,Cliente 9,2020-01-10,35549.59,12.75,48,12784.54,620.0,No,Pagado,1953-06-27
100010,Cliente 10,2020-01-11,1518.93,7.06,48,7633.14,338.0,Sí,En Mora,1997-06-12
100011,Cliente 11,2020-01-12,48510.54,18.69,12,12426.77,764.0,Sí,En Mora,1975-01-29
100012,Cliente 12,2020-01-13,41705.91,15.01,36,6387.18,710.0,Sí,Activo,1969-12-25
100013,Cliente 13,2020-01-14,11010.79,17.16,48,14777.94,711.0,No,Pagado,1990-05-05
100014,Cliente 14,2020-01-15,9500.34,7.72,12,11672.1,791.0,Sí,En Mora,1978-06-27
100015,Cliente 15,2020-01-16,9578.52,8.05,36,14506.28,737.0,No,En Mora,1978-05-17
100016,Cliente 16,2020-01-17,15559.99,4.39,24,7957.73,778.0,Sí,Pagado,1985-09-21
100017,Cliente 17,2020-01-18,26475.44,10.42,36,7368.52,371.0,Sí,Pagado,1994-04-07
100018,Cliente 18,2020-01-19,21881.28,15.53,36,11454.08,519.0,Sí,Activo,1956-12-02
100019,Cliente 19,2020-01-20,14915.84,21.95,60,13264.22,303.0,Sí,Activo,1997-12-18
100020,Cliente 20,2020-01-21,30786.72,17.84,60,14480.11,589.0,No,Pagado,1968-10-31
100021,Cliente 21,2020-01-22,7404.95,12.86,24,5206.0,679.0,Sí,Activo,1971-09-09
100022,Cliente 22,2020-01-23,14961.16,23.99,24,12081.22,654.0,Sí,En Mora,1986-01-18
100023,Cliente 23,2020-01-24,18634.91,18.96,36,3554.36,379.0,No,Activo,1997-02-11
100024,Cliente 24,2020-01-25,23075.46,23.5,48,8410.83,365.0,Sí,Activo,2001-03-27
100025,Cliente 25,2020-01-26,39366.21,14.84,24,3107.8,435.0,No,En Mora,1969-05-04
100026,Cliente 26,2020-01-27,10383.85,9.07,36,5537.26,698.0,Sí,Pagado,1958-03-28
100027,Cliente 27,2020-01-28,25954.6,4.64,12,14004.7,646.0,Sí,En Mora,1993-07-08
100028,Cliente 28,2020-01-29,29824.52,19.11,60,2618.32,358.0,Sí,Activo,1990-10-01
100029,Cliente 29,2020-01-30,2799.3,6.11,48,9669.81,818.0,No,Activo,1949-07-04
100030,Cliente 30,2020-01-31,30573.47,10.01,36,9097.84,536.0,Sí,Pagado,1961-11-02
100031,Cliente 31,2020-02-01,8940.94,14.95,12,2250.71,378.0,No,Activo,1998-03-23
100032,Cliente 32,2020-02-02,3720.05,15.63,60,5226.7,414.0,No,Activo,1947-05-20
100033,Cliente 33,2020-02-03,47469.83,16.41,9999,8663.23,761.0,No,Pagado,1954-06-10
100034,Cliente 34,2020-02-04,48298.79,7.07,36,3214.09,425.0,No,En Mora,1956-10-29
100035,Cliente 35,2020-02-05,40515.67,11.66,24,12109.04,799.0,Sí,Pagado,1947-02-14
100036,Cliente 36,2020-02-06,15578.38,16.77,60,14596.27,401.0,Sí,Activo,2000-12-28
100037,Cliente 37,2020-02-07,5334.77,24.35,12,3614.01,473.0,Sí,Activo,1958-03-14
100038,Cliente 38,2020-02-08,34369.53,19.14,24,3210.22,751.0,Sí,Activo,1952-03-28
100039,Cliente 39,2020-02-09,22287.55,23.34,48,7096.56,391.0,Sí,Activo,1949-08-23
100040,Cliente 40,2020-02-10,6540.89,19.89,36,11342.6,684.0,Sí,Pagado,1983-09-01
100041,Cliente 41,2020-02-11,25011.26,16.22,36,4583.21,504.0,Sí,Pagado,1992-10-04
100042,Cliente 42,2020-02-12,2202.23,7.63,60,788.26,662.0,Sí,Activo,1985-05-27
100043,Cliente 43,2020-02-13,45511.36,17.83,12,8347.7,797.0,Sí,Activo,1979-11-04
100044,Cliente 44,2020-02-14,13309.61,16.9,48,14370.71,836.0,Sí,Activo,1990-02-05
100045,Cliente 45,2020-02-15,33294.85,16.45,60,6173.51,533.0,Sí,Pagado,1989-06-10
100046,Cliente 46,2020-02-16,15929.7,14.03,60,6591.95,315.0,Sí,Activo,1988-07-12
100047,Cliente 47,2020-02-17,26243.37,14.87,12,14549.07,440.0,Sí,En Mora,1997-06-21
100048,Cliente 48,2020-02-18,27562.16,10.69,48,10571.81,719.0,No,Pagado,1972-03-31
100049,Cliente 49,2020-02-19,9650.3,14.67,12,10927.99,755.0,Sí,Pagado,1959-05-24
100050,Cliente 50,2020-02-20,48494.44,7.75,36,8659.18,599.0,No,Activo,1986-12-23
100051,Cliente 51,2020-02-21,38869.07,20.81,24,14631.83,638.0,Sí,En Mora,1988-11-12
100052,Cliente 52,2020-02-22,47005.2,-7.49,36,10488.56,602.0,Sí,Activo,1948-11-26
100053,Cliente 53,2020-02-23,44793.95,5.33,36,13477.97,375.0,Sí,Activo,1946-06-10
100054,Cliente 54,2020-02-24,30096.05,12.88,60,10640.99,615.0,Sí,Pagado,2000-05-20
100055,Cliente 55,2020-02-25,46132.77,17.65,36,11159.18,799.0,Sí,En Mora,1966-04-26
100056,Cliente 56,2020-02-26,4880.38,12.91,48,4710.96,374.0,No,Pagado,1979-05-11
100057,Cliente 57,2020-02-27,10201.15,9.45,36,4900.44,665.0,No,En Mora,1947-04-27
